['8147', '198', '259', '0']
['8159', '0', '550', '0']
['8160', '0', '550', '0']
['8161', '0', '550', '0']
['8162', '0', '550', '0']
['8159', '0', '550', '0']
['8160', '0', '550', '0']
['8161', '0', '550', '0']
['8162', '0', '550', '0']
['8159', '0', '550', '0']
['8160', '0', '550', '5']
['8161', '0', '550', '5']
['8162', '0', '550', '5']
['8159', '0', '550', '5']
['8160', '0', '550', '5']
['8161', '0', '550', '0']
['8162', '0', '550', '0']
['8159', '0', '550', '0']
['8160', '0', '550', '0']
['8161', '0', '550', '0']
['8162', '0', '550', '0']
['8159', '0', '550', '0']
['8160', '0', '550', '0']
['8161', '0', '550', '0']
['8160', '0', '550', '0']
['8161', '0', '550', '0']
['8162', '0', '550', '0']
['8159', '0', '550', '0']
['8160', '0', '550', '0']
['8161', '0', '550', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['816', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['816', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['818', '835', '388', '0']
['819', '835', '388', '0']
['820', '835', '388', '0']
['821', '835', '388', '0']
['822', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['818', '835', '388', '0']
['819', '835', '388', '0']
['820', '835', '388', '0']
['821', '835', '388', '0']
['822', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['817', '835', '388', '0']
['818', '835', '388', '0']
['819', '835', '388', '0']
['820', '835', '388', '0']
['821', '835', '388', '0']
['822', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['818', '835', '388', '0']
['819', '835', '388', '0']
['820', '835', '388', '0']
['821', '835', '388', '0']
['822', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['813', '835', '388', '0']
['814', '835', '388', '0']
['815', '835', '388', '0']
['816', '835', '388', '0']
['817', '835', '388', '0']
['818', '835', '388', '0']
['819', '835', '388', '0']
['820', '835', '388', '0']
['821', '835', '388', '0']
['822', '835', '388', '0']
['823', '835', '388', '0']
['824', '831', '390', '0']
['827', '853', '400', '0']
['828', '866', '409', '0']
['831', '881', '419', '0']
['832', '896', '435', '0']
['835', '902', '442', '0']
['836', '900', '440', '0']
['837', '900', '440', '0']
['838', '874', '433', '0']
